z,choice
1.68,1
2.32,1
4.39,1
7.93,1
7.79,1
2.15,0
7.79,0
7.68,1
4.17,0
9.23,1
1.9,0
3.61,1
7.83,1
7.72,0
7.71,1
5.32,1
2.63,1
6.86,1
8.6,1
8,1
7.59,1
6,1
5.41,0
5.44,1
1.39,0
5.72,0
0.32,0
2.41,1
0.52,0
2.34,1
7.49,1
6.11,0
2.79,1
7.7,1
0.28,0
12.69,1
3.26,0
7.67,1
7.5,0
2.37,0
4.04,1
3.57,0
5.2,1
8.12,0
6.04,1
4.78,1
5.45,1
5.24,1
1.84,0
0.95,0
4.04,0
7.86,1
2.86,1
4.74,1
5.89,0
11.11,1
7.01,1
4.16,1
6.59,1
9.9,1
8.02,1
4.46,1
1.29,0
3.98,1
2.28,0
8.2,1
2.04,0
6.94,1
2.06,0
8.61,1
3.81,0
2,0
2.07,0
5.82,0
5.53,0
3.67,0
6.65,0
4.69,1
5.23,0
7.69,1
2.41,1
7.62,1
6.89,1
3.1,0
5.02,0
1.03,0
1.85,0
6.84,1
6.23,1
11.27,1
2.08,0
5.29,1
3.76,0
0.1,0
8.88,1
1.64,0
11.16,1
7.87,1
4.23,1
2.22,0
4.99,0
2.56,0
5.97,0
5.99,1
6.19,0
3.61,0
1.35,0
2.12,0
8.11,0
1.24,0
6.63,1
5.32,1
12.48,1
0.88,0
5.16,1
1,0
8.12,1
0.72,0
7.23,0
6.76,0
6.97,0
0.76,0
3.29,1
2.24,0
7.27,1
3.48,0
11.83,1
2.77,0
2.51,0
2.61,0
1.15,0
9,1
4.64,0
4.71,1
5.9,1
8.12,1
11.21,1
3,1
6.06,0
3.28,1
0.63,0
2.48,0
1.06,0
3.96,0
2.15,0
3.45,0
0.84,0
7.23,1
8.33,1
4.03,1
4.53,1
5.96,1
10.65,1
3.32,0
0.9,0
6.56,0
3.13,0
2.75,0
3.45,0
0.79,0
3.24,0
8.28,1
8.26,1
4.7,0
0.53,0
3,1
2.91,0
6.58,1
2.28,0
0.38,0
2.03,1
5.2,0
5.97,0
6,1
3.69,0
4.5,0
5.74,1
7.03,1
7.39,1
6.41,0
1.57,0
3.13,0
6.08,1
9.77,1
1.53,1
8.06,1
6.97,1
4,0
3.8,0
3.67,1
2.78,0
5.12,1
4.91,1
6.59,0
9.24,1
5.52,0
3.04,0
6.98,1
4.34,0
3.05,0
